slot,time,total_charging_kW,ev_01,ev_02
0,00:00,72.0,36.0,36.0
1,00:30,3.6,1.8,1.8
2,01:00,0.18,0.09,0.09
3,01:30,0.009,0.004,0.004
4,02:00,0.0,0.0,0.0
5,02:30,0.0,0.0,0.0
6,03:00,0.0,0.0,0.0
7,03:30,0.0,0.0,0.0
8,04:00,0.0,0.0,0.0
9,04:30,0.0,0.0,0.0
10,05:00,0.0,0.0,0.0
11,05:30,0.0,0.0,0.0
12,06:00,0.0,0.0,0.0
13,06:30,0.0,0.0,0.0
14,07:00,0.0,0.0,0.0
15,07:30,0.0,0.0,0.0
16,08:00,0.0,0.0,0.0
17,08:30,0.0,0.0,0.0
18,09:00,0.0,0.0,0.0
19,09:30,0.0,0.0,0.0
20,10:00,0.0,0.0,0.0
21,10:30,0.0,0.0,0.0
22,11:00,0.0,0.0,0.0
23,11:30,0.0,0.0,0.0
24,12:00,0.0,0.0,0.0
25,12:30,0.0,0.0,0.0
26,13:00,0.0,0.0,0.0
27,13:30,0.0,0.0,0.0
28,14:00,0.0,0.0,0.0
29,14:30,0.0,0.0,0.0
30,15:00,0.0,0.0,0.0
31,15:30,0.0,0.0,0.0
32,16:00,0.0,0.0,0.0
33,16:30,0.0,0.0,0.0
34,17:00,0.0,0.0,0.0
35,17:30,0.0,0.0,0.0
36,18:00,0.0,0.0,0.0
37,18:30,0.0,0.0,0.0
38,19:00,0.0,0.0,0.0
39,19:30,0.0,0.0,0.0
40,20:00,0.0,0.0,0.0
41,20:30,0.0,0.0,0.0
42,21:00,0.0,0.0,0.0
43,21:30,0.0,0.0,0.0
44,22:00,0.0,0.0,0.0
45,22:30,0.0,0.0,0.0
46,23:00,0.0,0.0,0.0
47,23:30,0.0,0.0,0.0
