slot,time,ev_01,ev_02
0,00:00,0.9,0.9
1,00:30,0.995,0.995
2,01:00,0.9998,0.9998
3,01:30,1.0,1.0
4,02:00,1.0,1.0
5,02:30,1.0,1.0
6,03:00,1.0,1.0
7,03:30,1.0,1.0
8,04:00,1.0,1.0
9,04:30,1.0,1.0
10,05:00,1.0,1.0
11,05:30,1.0,1.0
12,06:00,1.0,1.0
13,06:30,1.0,1.0
14,07:00,1.0,1.0
15,07:30,1.0,1.0
16,08:00,1.0,1.0
17,08:30,1.0,1.0
18,09:00,1.0,1.0
19,09:30,1.0,1.0
20,10:00,1.0,1.0
21,10:30,1.0,1.0
22,11:00,1.0,1.0
23,11:30,1.0,1.0
24,12:00,1.0,1.0
25,12:30,1.0,1.0
26,13:00,1.0,1.0
27,13:30,1.0,1.0
28,14:00,1.0,1.0
29,14:30,1.0,1.0
30,15:00,1.0,1.0
31,15:30,1.0,1.0
32,16:00,1.0,1.0
33,16:30,1.0,1.0
34,17:00,1.0,1.0
35,17:30,1.0,1.0
36,18:00,1.0,1.0
37,18:30,1.0,1.0
38,19:00,1.0,1.0
39,19:30,1.0,1.0
40,20:00,1.0,1.0
41,20:30,1.0,1.0
42,21:00,1.0,1.0
43,21:30,1.0,1.0
44,22:00,1.0,1.0
45,22:30,1.0,1.0
46,23:00,1.0,1.0
47,23:30,1.0,1.0
48,24:00,1.0,1.0
